cleaned_text,label
"Claim: , social housing units currently construction",1
Claim: side effects HPV vaccine outweigh benefitsverdict: false (by wide margin),1
Claim: publication Fianna Fáil’s variable rate mortgage bill caused state-owned Irish bank shares fall % day,1
Claim: Ireland highest child poverty rate OECD,1
CLAIM: drink-driving campaign recommended motorists drink four pints getting behind wheel.,1
Pope Francis endorsed Donald Trump president.,1
", U.S. government predicted paper would come hemp trees would need cut down.",1
"Says Doug Jones ""is full-term abortion.""",1
actually made history . came closest years defeating Frank Pallone.,1
Obama admin gutted @ProjChildSafe budget provide trigger locks safety kits.,1
Everyone cancer pH acidic.,1
Ordinary use canola oil dangerous consumers.,1
Actor Johnny Depp charged conspiracy assassinate president held terrorist enemy combatant joking assassinating President Trump.,1
Says Gerald Daugherty endorsed Austin American-Statesman.,1
image shows musicians David Bowie Lemmy Kilmister together party.,1
"U.S. national security agencies went ""high alert"" President-Elect Donald Trump caught telling ""a dangerous lie.""",1
teenage schoolgirl Texas became pregnant flu vaccination.,1
[Name celebrity] summoned jury duty [name town] supposedly owns property there.,1
pilot missing Malaysia Airlines Flight reappeared Taiwan two years plane disappeared.,1
Stepping Rusty Nail Cause Tetanus?,1
Tens thousands Russian troops surrounding U.S. borders.,1
"not, repeat, told waterboarding enhanced interrogation methods used.",1
"Says ""Hillary Clinton's plan would bring , refugees first term, alone, effective way screen vet them. plan would cost $ billion terms lifetime welfare entitlement costs.""",1
Trump Tweet President Shot Cannon 'Dow Joans' Tanks?,1
President Trump's son Barron national academic award June .,1
"Secret flights whisked bin Laden family members Saudi nationals U.S. immediately September general ban air travel still effect, FBI opportunity question passengers.",1
Fox News accidentally puts poll graphic shows least trusted network.,1
average student comes college hundreds thousands dollars debt.,1
Jennifer Lawrence Blame / President Trump’s Stealing Election?,1
woman Idaho sentenced seven years prison breastfeeding public.,1
Donald Trump's Presidential Campaign Unveil New Logo Resembles Swastika?,1
Photograph shows Hillary Clinton shaking hands Osama bin Laden.,1
Justice Kennedy quit son helped Trump launder illegal Russian money Deutsche Bank.,1
"Super Bowl XXII , reporter asked Washington Redskins quarterback Doug Williams, ""How long black quarterback?""",1
"Says ""led effort build new (University Wisconsin-Milwaukee) engineering campus Wauwatosa.""",1
"Two Iraqis came country, radicalized masterminds behind Bowling Green massacre. … get covered",1
Singer Beyoncé Knowles killed car crash.,1
"Says Charlie Crist ""is embroiled fraud case steering taxpayer money de facto Ponzi scheme.""",1
Medicare regulations require doctors ask patients whether guns.,1
KISS bassist Gene Simmons cow's tongue grafted onto own.,1
Department Homeland Security secretly moving releasing crowds undocumented people United States.,1
"Palin ""executive experience"" PTA.",1
Much Kenya’s Budget Going Towards Health Sector?,1
"Led President Obama, United Nations ordered U.S. pay reparations African Americans slavery.",1
"growing kid city Milwaukee, averaged homicides year entire city record number.",1
tradition celebrating Veterans Day ravioli dinners initiated President Woodrow Wilson .,1
"Twelve judges thrown legal challenges health care law rejected ""the notion health care law unconstitutional.""",1
There’s mosque inside Pentagon.,1
Automobile components emit dangerous levels cancer-causing benzene fumes.,1
"Protesters La Crosse blocked exit surrounded State Patrol car carrying governor ""beating windows rocking vehicle."" car ""extricated"" crowd, truck blocked second exit.",1
"Images show baby half-human, half-lion hybrid found Indonesia.",1
groundbreaking study showing algae draw alternative source energy plants suggests humans might able draw energy similar way.,1
Fentanyl-laced marijuana use real growing concern United States.,1
Department Health Human Services providing $ million state Pennsylvania set new high-risk insurance pool program would cover abortion legal state.,1
scientific study demonstrated conspiracy theorists generally sane people.,1
"driving average America summer, save — according Department Energy figures — $.",1
"Americans use birth certificates access secret ""strawman"" funds.",1
"Says tax plan, ""no matter stratosphere, going getting tax cut.""",1
"Benghazi probe ""the longest-running congressional investigation ever.""",1
"""not true"" since he's president, executions Iran increased four times.",1
"Untaxed corporate earnings used ""$. trillion … guess it’s $ trillion now. Whatever is, it’s lot more. anywhere (trillion) even trillions dollars sitting offshore.""",1
Sneak Impact,1
I’m first Democrat ever lead Scott Walker election year.,1
major Hepatitis outbreak San Diego pinned undocumented immigrants there.,1
Scuba Diver Hospitalized Getting Penis Stuck Giant Clam?,1
"Barack Obama Say ‘If Don’t Something President, Will?’",1
"van full ""illegals"" traveled voting booth voting booth Arizona order vote (illegally) Hillary Clinton.",1
"image shows Maria Bartiromo holding phone decorated ""Trump/Pence"" sticker annual Al Smith Dinner.",1
"North Carolina ""the strictest anti-gerrymandering standards entire country.""",1
President-elect Donald Trump said plans cut Social Security benefits.,1
I’ve involved prosecuting terrorist member ISIS.,1
Florida High School Shooter 'Dreamer'?,1
supported surge didn't.,1
"warning ""another friend request"" alerts Facebook users potential account ""cloning.""",1
DEA raided vacation ranch U.S. Senator Hal Lindsay New Jersey seized large quantities illegal drugs.,1
chart shows relationship voting patterns intelligence quotients state.,1
never favored cap trade.,1
"last four years, deficit gone up, percent consequence President George W. Bush’s policies recession.",1
"Barack Obama, ""the fewest number adults working since Jimmy Carter’s presidency.""",1
Says Allen West violated federal law scuba diving U.S. flag.,1
