cleaned_text,label
"post claims compulsory vacination violates principles bioethics, coronavirus doesnâ€t exist, PCR test returns many false positives, influenza vaccine related COVID-.",1
photo claims person doctor died attending many COVID- patinents Hospital MuÃ±iz Buenos Aires.,1
Post video claims protest confination town Aranda de Duero (Burgos),1
"deaths respiratory failure pneumonia registered COVID-, according Civil Registry website.",1
dean College Biologists Euskadi states lot PCR false positives asymptomatic donâ€t spread coronavirus.,1
"Households COVID- patients Porto Alegre, Campo Grande Santo AntÃ´nio da Platina must put red ribbon garbage bags. Garbagemen instructed handle safer way",1
chain lists recommendations prevent treat coronavirus.,1
", Argentinian companies closed due COVID-; also, companies receiving government aid pandemic expropriated government",1
Social media posts criticize photo smiling president Goverment Pedro SÃ¡nchez holidays thousands died COVID-,1
CDC released update novel coronavirus transmitted,1
Good oral hygiene destroys coronavirus prevents spread,1
video shows Pakistani minister Health slapping obey official measures,1
"Brazilian deputee says pandemic started decrease state, Rio Grande Sul",1
warns consuming cabbage prevent COVID-,1
picture shows hydroxychloroquine sold public trains Rio de Janeiro,1
evidence chlorine dioxide cures COVID-,1
video shows Pakistani minister Health slapping obey official measures,1
picture shows hydroxychloroquine sold public trains Rio de Janeiro,1
Coronavirus settle air grounded â€“ UNICEF,1
Coronavirus float air grounded â€“ UNICEF,1
"Axel Kicillof (Governor Province Buenos Aires, Argentina): â€œRight [there is] strict quarantine Barcelonaâ€",1
list alleged remedies treat coronavirus.,1
Coronavirus (COVID-) large size cell diameter - micro reason mask may prevent entry â€“ UNICEF,1
COVID- controlled Africa widespread distribution ivermectin,1
post claims PCR test â€œcause damage blood-brain barrierâ€ â€œcreate direct entrance brain infection.â€,1
Supposed tweet form Berlin Police claims . million people August st rally Berlin coronavirus meassures.,1
Covid â€“ bacteria amplified G technology,1
post spreading WhatsApp claims hospital guards job oppenings IFEMA hospital Madrid.,1
photo shows hand sanitizer sold vitamin box,1
"% fall Chinese product sales Brazil due boycott motivated pandemic, acording INCINT",1
photo collage claims show images taken protest coronavirus restrictions Germany August .,1
Police raid private spaces MedellÃ­n breach Dry Law,1
post showing health worker MuÃ±iz Hospital (Argentina) died treating patients COVID-,1
Fact Check: Neither Viral Post Coronavirus (COVID-) UNICEF Accurate,1
COVID- vaccines cause infertility â€“ get vaccinated,1
video supposedly showing dead COVID- victim raising hand lifted away health workers proves global pandemic hoax.,1
COVID- pH value,1
â€˜Doctors truthâ€ make claims coronavirus.,1
Chinese vaccines contain microchip receives G signals allow Chinese government interfere RNA,1
"% fall Chinese product sales Brazilian state Santa Catarina, due boycott motivated pandemic",1
photo beach lots boats message says infected inmigrants Argelia preparing travel Spain.,1
said â€œthere solution perhaps never beâ€ coronavirus.,1
